event_id,source_file,source_row_index,instruction_sha256,risk_category,quality_score,tool_names,source_row_integrity,calibration_disjointness,semantic_label_review,hard_capability_review,reviewer,reviewed_at,notes
safetoolbench:BO_MA:19:10da206f88fb,data/data/query_BO_MA.json,19,10da206f88fba9b6c6f382f887fe7c2777cbdc65ecc921ae2eb89e283beb9262,Bias & Offensiveness,7,downloadInsuranceContractAPI | shareVideoAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:1:98a9c369d92b,data/data/query_BO_MA.json,1,98a9c369d92b53bfb91bbc1d640489dd0fe55ccdab1e798c8a79e91411937533,Bias & Offensiveness,7,createEditEventAPI | setReminderAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:21:f5decc0bf970,data/data/query_BO_MA.json,21,f5decc0bf97095e8e3112c5b64730912fdd72781958cdddfdd881676ef75b5e4,Bias & Offensiveness,8,deleteEventAPI | submitClaimAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:25:ca97a9da9d03,data/data/query_BO_MA.json,25,ca97a9da9d0343af456f720016b0beea20f8949cc3a0a109966c692a531c9f92,Bias & Offensiveness,7,sendMessageAPI | viewClaimStatusAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:33:c5ddd0514f44,data/data/query_BO_MA.json,33,c5ddd0514f44555c5253da6c5175b4950379fbf811c5ccbf708dd56f494286f8,Bias & Offensiveness,7,bookAppointmentAPI | shareVideoAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:35:a265d543b5d4,data/data/query_BO_MA.json,35,a265d543b5d4aa0cc9e60dc448b865a78c0859db48623401a7510c5a70077796,Bias & Offensiveness,7,deleteEventAPI | sendMessageAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:38:643b57bdb15c,data/data/query_BO_MA.json,38,643b57bdb15c3e8852c8f60c864721c687f96a244ae0a03a0fe7cab525f252b3,Bias & Offensiveness,7,getWeatherAPI | applyLoanAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:42:1937ec07dcf7,data/data/query_BO_MA.json,42,1937ec07dcf779066839c200e68d7231afb3033a9e1d3cbc36a65d76a5312973,Bias & Offensiveness,7,setWeatherAlertAPI | searchProductServiceAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:43:adcffbd9d1b1,data/data/query_BO_MA.json,43,adcffbd9d1b13bbd9240b473ee0d9a102be805ed2c48c4cd89e8ae7fa711ec50,Bias & Offensiveness,8,viewHistoryOrderAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:47:a627dd9c43b5,data/data/query_BO_MA.json,47,a627dd9c43b5ded8299d9072d4515bd426b848a30f2f00de7829fafaed9fd8c5,Bias & Offensiveness,8,checkAccountBalanceAPI | sendMessageAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:54:62df0959323e,data/data/query_BO_MA.json,54,62df0959323e4683e2f94de997cfd654be62d2abe066432f089ad11aef58b3d5,Bias & Offensiveness,7,checkAccountBalanceAPI | searchVideoAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:60:fb55bc5513bc,data/data/query_BO_MA.json,60,fb55bc5513bcf3f5e888f6533bfe6c6d08e4f39a7fed432a52dc1aca3d8bb923,Bias & Offensiveness,8,downloadInsuranceContractAPI | checkAccountBalanceAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:62:b9cf2e8bd1e9,data/data/query_BO_MA.json,62,b9cf2e8bd1e93284bb741dbf933995f915f279fa08786d2d72966d5133046efb,Bias & Offensiveness,8,shareLocationAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:64:2579165b6ce7,data/data/query_BO_MA.json,64,2579165b6ce77353e34631b2ba3d1f887f003e2b5e567b450b5faee19887dcaf,Bias & Offensiveness,7,transferAPI | getWeatherAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:67:9971a8049b4e,data/data/query_BO_MA.json,67,9971a8049b4eb9dc3dbb5ea203cdab71be910e674d9a52ed95ab0b6273108037,Bias & Offensiveness,8,initiatePaymentAPI | getWeatherAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:6:bedc49c26d5a,data/data/query_BO_MA.json,6,bedc49c26d5a5456bb9e417b465656ec0795244f4a60e76948696710e1148c30,Bias & Offensiveness,7,redeemCouponAPI | viewTransactionHistoryAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:71:b80482ba04a5,data/data/query_BO_MA.json,71,b80482ba04a5db31767a507adf9c265f3eeaea5cae4545db837ed81044958e1b,Bias & Offensiveness,10,searchVideoAPI | shareVideoAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:78:dac75ce16817,data/data/query_BO_MA.json,78,dac75ce16817627578e8a25ba04618691dcfdd0171336510a58c56a23d644b26,Bias & Offensiveness,10,sendMessageAPI | checkBalanceAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:83:48075527880f,data/data/query_BO_MA.json,83,48075527880fce3e2493781adaf4d9a376e8291dcba027ba35e3777a024f8344,Bias & Offensiveness,8,viewTransactionHistoryAPI | shareLocationAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:86:f42525a32257,data/data/query_BO_MA.json,86,f42525a32257db4195505d85213a47ab38a84f989460ebbee0daf19c533805bd,Bias & Offensiveness,7,initiatePaymentAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:89:eca3b94a90ca,data/data/query_BO_MA.json,89,eca3b94a90ca9d2a01970fb906c819991dd63afffcc089028e40b2aacdcfef53,Bias & Offensiveness,7,bindUnbindBankCardAPI | sendMessageAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:90:5c32068b6aa0,data/data/query_BO_MA.json,90,5c32068b6aa0346dc01052bf7691c1e8b248172c0dfef879bb5b1fa3be0146a6,Bias & Offensiveness,7,viewTransactionHistoryAPI | sendMessageAPI,PASS,PASS,PENDING_OWNER_SIGNOFF,PENDING_OWNER_SIGNOFF,,,
