title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"GuardAgent: Safeguard LLM Agents via Knowledge-Enabled Reasoning",2025,"ICML 2025 / PMLR 267",https://proceedings.mlr.press/v267/xiang25a.html,"method + benchmark",4,4,4,Risk,"Executable checking of agent actions from safety guard requests","Official proceedings and public code; repository license not visible"
"ShieldAgent: Shielding Agents via Verifiable Safety Policy Reasoning",2025,"ICML 2025 / PMLR 267",https://proceedings.mlr.press/v267/chen25ae.html,"method + benchmark",4,4,4,Risk,"Explicit verifiable policy rules and formal trajectory checks","Official proceedings; reusable code and license not verified"
"CORA: Conformal Risk-Controlled Agents for Safeguarded Mobile GUI Automation",2026,arXiv,https://arxiv.org/abs/2604.09155,"method + benchmark",5,3,4,Risk,"Direct conformal pre-action risk-gating neighbor","Paper strong; linked repository says code benchmark and model are not yet released"
"FinHarness: An Inline Lifecycle Safety Harness for Finance LLM Agents",2026,arXiv,https://arxiv.org/abs/2605.27333,"pure method",4,3,4,Risk,"Direct light/strong verifier-cascade neighbor","Paper public; no official code link verified"
"ToolChain-CRC: Conformal Risk Control for Agentic AI Under Retrieval and Tool-Use Drift",2026,arXiv,https://arxiv.org/abs/2606.18467,"theory/proof",5,4,4,Risk,"Trajectory-level conformal risk and drift control","Paper and proofs public; no official code link verified"
"The Verifier Tax: Horizon Dependent Safety Success Tradeoffs in Tool Using LLM Agents",2026,arXiv,https://arxiv.org/abs/2603.19328,"other: empirical diagnostic",4,3,3,Risk,"Safety success recovery and compute tradeoff in tau-bench","Useful diagnostic; dedicated code not verified"
"Conformal Risk Control",2024,"ICLR 2024",https://proceedings.iclr.cc/paper_files/paper/2024/hash/f3549ef9b5ff520a7e41ff3cc306ab2b-Abstract-Conference.html,"theory/proof",5,5,4,A,"Formal calibration anchor","Peer-reviewed official proceedings with clear assumptions and extensions"
"Safety Testing LLM Agents at Scale: From Risk Discovery to Evidence-Grounded Verification",2026,arXiv,https://arxiv.org/abs/2607.01793,"system/tool",4,4,4,Risk,"Executable end-state and tool-evidence verification","Code public; repository license not visible"
"Fairness in Serving Large Language Models",2024,"OSDI 2024",https://www.usenix.org/conference/osdi24/presentation/sheng,"pure method",5,5,5,A,"Tenant-fair service-accounting anchor via VTC","Peer-reviewed; reproducible Apache-2.0 artifact"
"SAGA: Workflow-Atomic Scheduling for AI Agent Inference on GPU Clusters",2026,"HPDC 2026",https://arxiv.org/abs/2605.00528,"system/tool",5,4,5,Risk,"Workflow-atomic multi-tenant agent scheduling with task-level fairness","Accepted-paper metadata verified; no official code link verified"
"Justitia: Fair and Efficient Scheduling of Task-parallel LLM Agents with Selective Pampering",2026,"arXiv preprint",https://arxiv.org/abs/2510.17015,"pure method",4,3,4,Risk,"Virtual-time fair queuing and worst-case service for task-parallel agents","Preprint; code and license not verified"
"MARS: Efficient, Adaptive Co-Scheduling for Heterogeneous Agentic Systems",2026,"arXiv preprint",https://arxiv.org/abs/2604.26963,"system/tool",4,4,4,Risk,"Admission and GPU/CPU co-scheduling for agentic workloads","Apache-2.0 preview code; full reproduction pending and datacenter GPU target"
"H-MAS: Hierarchical Multi-Agent Scheduling for Multi-Tenant LLM Serving",2026,"Findings ACL 2026",https://aclanthology.org/2026.findings-acl.1946/,"pure method",3,4,4,Risk,"Burst- and drift-aware multi-tenant scheduling","Peer-reviewed official proceedings; code not verified"
"tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains",2024,"arXiv and active official repository",https://arxiv.org/abs/2406.12045,"pure benchmark",5,4,"N/A benchmark",A,"Primary stateful tool-agent workload source","MIT repository; version pin required because current benchmark lineage evolves"
"AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents",2024,"NeurIPS 2024 Datasets and Benchmarks",https://proceedings.neurips.cc/paper_files/paper/2024/hash/97091a5177d8dc64b1da8bf3e1f6fb54-Abstract-Datasets_and_Benchmarks_Track.html,"pure benchmark",5,5,"N/A benchmark",A,"Primary open security-pressure environment","Peer-reviewed; MIT repository and installable package"
