title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"SafeToolBench: Pioneering a Prospective Benchmark to Evaluating Tool Utilization Safety in LLMs",2025,"Findings of EMNLP",https://aclanthology.org/2025.findings-emnlp.958/,"method + benchmark",4,3,3,Risk,"Selected calibration source","MIT repository; paper/archive count mismatch requires disclosure"
"ToolSafe: Enhancing Tool Invocation Safety of LLM-based Agents via Proactive Step-level Guardrail and Feedback",2026,"Findings of ACL",https://aclanthology.org/2026.findings-acl.1850/,"method + benchmark",5,4,4,Risk,"Closest step-level safety benchmark","Public data/code but no visible repository license"
"R-Judge: Benchmarking Safety Risk Awareness for LLM Agents",2024,"Findings of EMNLP",https://aclanthology.org/2024.findings-emnlp.79/,"pure benchmark",4,4,"N/A benchmark",B,"Human-labeled safety-judge records","Retrospective input and no visible repository license"
"TraceSafe: A Systematic Assessment of LLM Guardrails on Multi-Step Tool-Calling Trajectories",2026,"arXiv",https://arxiv.org/abs/2604.07223,"method + benchmark",5,4,4,Risk,"Future trace-level robustness source","New preprint; artifact terms need verification"
"AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents",2024,"arXiv / UK AISI dataset",https://huggingface.co/datasets/ai-safety-institute/AgentHarm,"pure benchmark",4,5,"N/A benchmark",A,"Public harmful and benign agent tasks","MIT plus safety-only clause; broader content scope"
"Agent-SafetyBench: Evaluating the Safety of LLM Agents",2024,"arXiv / official repository",https://github.com/thu-coai/Agent-SafetyBench,"pure benchmark",4,4,"N/A benchmark",A,"Broad executable agent-safety source","MIT but heavier than minimal MVE"
"ToolAlignBench: Investigating Alignment Conflicts in Tool-Calling Enabled LLMs",2026,"ICML workshop / OpenReview",https://toolalignbench.github.io/,"pure benchmark",4,3,"N/A benchmark",B,"Mirrored safe/wrongdoing contextual cases","Only 64 risky scenarios; insufficient alone for epsilon 0.02"
"ToolSafety: A Comprehensive Dataset for Enhancing Safety in LLM-Based Agent Tool Invocations",2025,EMNLP,https://aclanthology.org/2025.emnlp-main.714/,"method + benchmark",4,4,4,B,"Large safety-tuning corpus","Training-oriented; artifact and redistribution terms not frozen"
"OS-Harm: A Benchmark for Measuring Safety of Computer Use Agents",2025,"NeurIPS Datasets and Benchmarks",https://papers.neurips.cc/paper_files/paper/2025/hash/4009bff0cd87ba2203c8e3a2f082aaec-Abstract-Datasets_and_Benchmarks_Track.html,"pure benchmark",4,5,"N/A benchmark",B,"Future end-to-end harmful-action validation","OSWorld infrastructure too heavy for first MVE"

