event_id,source_file,source_row_index,instruction_sha256,risk_category,quality_score,tool_names,source_row_integrity,semantic_label_review,reviewer,reviewed_at,notes
safetoolbench:BO_MA:10:d499e618eb7d,data/data/query_BO_MA.json,10,d499e618eb7dc9ed954e2df6d4e64732b78ee8f903a7f75e0b11ac291bb79207,Bias & Offensiveness,7,applyForInsuranceAPI | applyLoanAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:12:95d14294d084,data/data/query_BO_MA.json,12,95d14294d0845a254ab9e3efeeb73ef5ec416dca5b1defdf6860577af0ca3ad6,Bias & Offensiveness,7,deleteFileAPI | sendMessageAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:16:e537d670692f,data/data/query_BO_MA.json,16,e537d670692f0c69bfeb6e4c180b6bde5e8ff581bae9369d545497b9b85b0f7e,Bias & Offensiveness,7,transferAPI | rateDriverAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:20:296c3ff2f373,data/data/query_BO_MA.json,20,296c3ff2f373b0fa28a3843f4cd22ca0a7a2482a913da448120622af56338d7c,Bias & Offensiveness,7,searchMovieAPI | checkBalanceAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:22:492540ad00b3,data/data/query_BO_MA.json,22,492540ad00b33b1b07d0699def065b551d99421c97990b8e23509a3e90b4a5b6,Bias & Offensiveness,7,shareEventAPI | viewPolicyDetailsAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:27:a1e9b6491682,data/data/query_BO_MA.json,27,a1e9b64916826b9cceb2c3124a2493b33a18fb5e7413b4f924d1cc52eb6cf8b4,Bias & Offensiveness,7,likeDislikeVideoAPI | shareLocationAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:29:2f5ea2ab15ce,data/data/query_BO_MA.json,29,2f5ea2ab15ce8b39d78f722d90e2974631d4f905ea002b7859e0d0f6aec64d15,Bias & Offensiveness,7,viewClaimStatusAPI | uploadVideoAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:30:898b5971d3f1,data/data/query_BO_MA.json,30,898b5971d3f1aed78aec0b671fbb6b8c05fe4a9cb185a6f27631ff9d9557509c,Bias & Offensiveness,7,viewPolicyDetailsAPI | transferAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:36:5ecbe9711fb1,data/data/query_BO_MA.json,36,5ecbe9711fb161561e8c95b09f355f71781bd70020095bff875d83947e611064,Bias & Offensiveness,7,rateMerchantServiceAPI | viewOrderHistoryAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:3:e2798a71b884,data/data/query_BO_MA.json,3,e2798a71b8847f7c9b9b595f54a00d8144b9406d2f3dea17f25d74c106aae70d,Bias & Offensiveness,7,fetchChatHistoryAPI | rateDriverAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:44:f75316f13ff2,data/data/query_BO_MA.json,44,f75316f13ff2200799211f2a08e8e340e7e0736dafa1ad069be47807a5ac3cdd,Bias & Offensiveness,8,payInsurancePremiumAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:50:7239500d3542,data/data/query_BO_MA.json,50,7239500d3542f2e97fc06fb0b84fb0c128720c52f4b0600b82139939a5c3a35e,Bias & Offensiveness,8,uploadFileAPI | shareFileAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:56:eabe834f15ac,data/data/query_BO_MA.json,56,eabe834f15ace16a9529f336d36503ce160b7f28f01f84b1cd1c08a3e07e06f9,Bias & Offensiveness,8,searchVideoAPI | sendMessageAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:75:557145da8cce,data/data/query_BO_MA.json,75,557145da8ccef6563746214e16c94322a53c73317b4fa5c6dc9d11e2c3fcaa44,Bias & Offensiveness,7,checkBalanceAPI | sendRedEnvelopeAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:76:48b9d627b9ab,data/data/query_BO_MA.json,76,48b9d627b9ab685853099182f5f56e19eceebec3b0e3ee2327a4b46162dccbc7,Bias & Offensiveness,7,fetchChatHistoryAPI | applyLoanAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:85:6389075a4847,data/data/query_BO_MA.json,85,6389075a48477bb575a177e3bb10f5e195737842dc8c17564a550cf71ddbef8a,Bias & Offensiveness,8,bindUnbindBankCardAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:88:a0378a443f69,data/data/query_BO_MA.json,88,a0378a443f6952864cdcd3d4f3b44a64f3782933b7ce33149fa43bb54eb432d6,Bias & Offensiveness,8,transferAPI | fetchChatHistoryAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_MA:93:9d2c2923712b,data/data/query_BO_MA.json,93,9d2c2923712b3b2da39d93e5d76093c8fec89eec7a94a69abb80f297a92da438,Bias & Offensiveness,8,shareLocationAPI | checkBalanceAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:10:b1a6142ef38e,data/data/query_BO_SA.json,10,b1a6142ef38e85eee5eec8028ad2cc80f58d2dac538570ab214e7e3cb4a47087,Bias & Offensiveness,8,createEditEventAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:111:d494c58eb599,data/data/query_BO_SA.json,111,d494c58eb5994855b64bb69301616aad413dabcde3b4344fb6b0216b5521ed07,Bias & Offensiveness,7,deleteFileAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:113:6f68e060b01d,data/data/query_BO_SA.json,113,6f68e060b01d28a0b1a12542780ba0eb192fff3360554fd4348dde86ba9c74f0,Bias & Offensiveness,8,deleteEventAPI | shareEventAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:119:0aa893808f1e,data/data/query_BO_SA.json,119,0aa893808f1e3c6b32fa23e09ec3ced77f0ac6b46ef912391c1d1b38bd21aa4e,Bias & Offensiveness,7,refundTicketAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:124:76f622ee9ea5,data/data/query_BO_SA.json,124,76f622ee9ea57a9950041bc435372f134d02107fb20498956022e7d0e2c55396,Bias & Offensiveness,8,sendMessageAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:128:ab3c9524a438,data/data/query_BO_SA.json,128,ab3c9524a43843a5c4908266c4780434dce99cbc4c8d805aa994e81ad0d838ab,Bias & Offensiveness,7,searchProductAPI | addToCartAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:20:0584b8e421e5,data/data/query_BO_SA.json,20,0584b8e421e5d08a678946635fa72d299628270f35afb90451c344e279d3a2d5,Bias & Offensiveness,7,deleteEventAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:2:d18b47feb43a,data/data/query_BO_SA.json,2,d18b47feb43a3149f99022e00d3e9cce09aa565703b6569b1dce2d9550d87046,Bias & Offensiveness,7,manageFoldersAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:30:d0ef97f24560,data/data/query_BO_SA.json,30,d0ef97f2456053c105262a7be784236e9070515ef9b0f4919aa372dcf001f996,Bias & Offensiveness,7,deleteEventAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:41:c85884a3b7f0,data/data/query_BO_SA.json,41,c85884a3b7f0cd26cbc29a1399f6206c0126efb0adc211e23cce2992fc239b04,Bias & Offensiveness,7,rateMerchantServiceAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:45:de5b6c69c757,data/data/query_BO_SA.json,45,de5b6c69c7573e55b976dd6424a33b47fc172639889443605d4cab89df1c3260,Bias & Offensiveness,7,requestRideAPI | shareLocationAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:58:b8bdf39a6e33,data/data/query_BO_SA.json,58,b8bdf39a6e3357b4ffe8c75b8059e2c9d180a76ba32944ea7bd3d6ac19cf2b09,Bias & Offensiveness,7,viewUserCommentHistoryAPI | postCommentAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:64:75b5164a3bb0,data/data/query_BO_SA.json,64,75b5164a3bb02f28c269861e735e9caa701481e74faca5166ffd895d85572da1,Bias & Offensiveness,7,shareEventAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:65:45db8ea214f3,data/data/query_BO_SA.json,65,45db8ea214f3c3c1b0cdff17363dc5fa350fa5b7eaa84c94cbdc32ece0e625d8,Bias & Offensiveness,7,deleteEventAPI,PASS,PENDING_OWNER_SIGNOFF,,,
safetoolbench:BO_SA:78:f96630d3ebc9,data/data/query_BO_SA.json,78,f96630d3ebc94f8ba46937864f6b5e647f594b1d79dc481b126f757754d2530e,Bias & Offensiveness,7,manageFriendListAPI,PASS,PENDING_OWNER_SIGNOFF,,,
